,Last__Name,First__Name,PassengerMiddleName,BirthDate,Passenger_Sex,FamilyStatus,TravelDoc,TicketNumber,NumberFlight,BookingCode,TravelClass,Fare,DepartDate,DepartureTime,DepartureCountry,DepartureCity,AirportDeparture,ArrivalDate,ArrivalTime,ArrivalCountry,CityArrival,ArrivalAirport,bonusprogramm,NickName,Status,ProgrammNumber,Meal,Baggage_right_y,Baggage_left,activity_type,CardsType,Dep_Time,Arr_Time,Aircraft,Travel_Time,airport_from,airport_to,Flag
142,AFANASEVA,IASMINA,ILINICHNA,1982-05-20 00:00:00,Female,MRS,7898 292795,5391755432554821.0,SU1463,QULSWU,Y,YGRPED,2017-08-25,16:20,,NOVOSIBIRSK,OVB,2017-08-25,16:50,,Moscow,SVO,,,,, ,1PC,Registered,,,,,,,,,True
217,AGAFONOVA,KARINA,ALBERTOVNA,1970-06-19 00:00:00,Female,,4903 072507,8624895046791813.0,SU1059,RMFEGE,Y,YSTNDT,2017-02-14,19:40, Russian Federation,Makhachkala ,MCX,2017-02-14,22:35, Russian Federation,Moscow,SVO,,,,, ,1PC,None,,,19:40,22:35,32A,2H55M,MCX,SV,True
326,AGAPOVA,NATALIIA,VLADISLAVOVNA,,,MRS,8191 445964,416906981987345.0,SU4600,HYJADP,Y,YSTNQC,2017-01-02,13:05,,NOGLIKI,NGK,2017-01-02,14:15,,KHABAROVSK,KHV,,,,, ,0PC,,,,,,,,,,True
425,AGEEVA,VALERIIA,ARTEMEVNA,,,MRS,9863 070876,2564273958637019.0,SU1307,ULTVUE,Y,YSTNEZ,2017-08-09,10:15,,NOVOSIBIRSK,OVB,2017-08-09,10:35,,MOSCOW,SVO,,,,, ,1PC,,,,,,,,,,True
628,ALEHINA,SABINA,VADIMOVNA,1970-05-10,,,7233 450643,3109489499786278.0,SU1479,FVIAKQ,Y,YRSTEX,2017-03-05,09:55, Russian Federation,Abakan,ABA,2017-03-05,10:55, Russian Federation,Moscow ,SVO,,,,, ,1PC,,,,09:55,10:55,32A,5H0M,ABA,SV,True
711,ALEKSANDROVA,OKSANA,PAVLOVNA,1985-09-18 00:00:00,Female,MRS,6651 828414,5830144800098216.0,SU1183,JMXHOX,Y,YFLXQK,2017-01-13,18:20,,VOLGOGRAD,VOG,2017-01-13,19:20,,Moscow,SVO,,,,, ,1PC,Registered,,,,,,,,,True
868,ALESHINA,VITALINA,ILDAROVNA,,,MRS,5214 803404,5861771327448563.0,SU1456,RNKBDN,A,ASTNJW,2017-01-20,10:25,,MOSCOW,SVO,2017-01-20,18:50,,KEMEROVO,KEJ,,,,, ,2PC,,,,,,,,,,True
989,ANDREEVA,DARIA,SVIATOSLAVOVNA,,,MRS,5317 147472,3062506080863444.0,SU1365,RXPXBR,Y,YFLXVP,2017-01-03,19:45,,STAVROPOL,STW,2017-01-03,22:05,,MOSCOW,SVO,,,,,KSML,0PC,,,,,,,,,,True
1030,ANDRIANOV,ARTUR,MAKAREVICH,,,MR,66 9011823,2214464482210516.8,SU1254,JUWBAW,Y,YRSTUD,2017-04-01,07:30,,MOSCOW,SVO,2017-04-01,09:20,,NIZHNEKAMSK,NBC,,,,,STML,0PC,,,,,,,,,,True
1050,ANDRIANOV,MATVEI,ARSENEVICH,1977-07-25,,MR,1260 840797,7201473268486972.0,SU5612,WALBOC,Y,YSTNHU,2017-01-29,10:55,,KHABAROVSK,KHV,2017-01-29,14:25,,MAGADAN,GDX,,,,, ,0PC,,,,,,,,,,True
1141,ANIKIN,VLADISLAV,MARATOVICH,,,MR,0469 451724,2998223946467904.0,SU1375,GAOITA,A,AGRPFF,2017-11-20,18:55,,BELGOROD,EGO,2017-11-20,20:20,,MOSCOW,SVO,,,,, ,1PC,,,,,,,,,,True
1187,ANIKINA,NADEZHDA,SERGEEVNA,1974-12-19,,MRS,8311 627725,804277173249804.0,SU1253,JEPXVQ,Y,YSTNKF,2017-01-10,18:00,,MOSCOW,SVO,2017-01-10,19:50,,NIZHNEKAMSK,NBC,,,,, ,1PC,,,,,,,,,,True
1242,ANISIMOV,VLAD,ARTEMOVICH,,,MR,0892 975244,9263825986029046.0,SU5615,VLLQJD,Y,YSTNQE,2017-03-01,14:05,,PETROPAVLOVSK,PKC,2017-03-01,15:35,,VLADIVOSTOK,VVO,,,,,ORML,0PC,,,,,,,,,,True
1283,ANISIMOVA,VALERIIA,VITALEVNA,1992-11-28,,MRS,6666 906847,5091360383110000.0,SU1247,UZRHSZ,Y,YRSTES,2017-05-10,11:15,,ORENBURG,REN,2017-05-10,11:40,,MOSCOW,SVO,,,,, ,1PC,,,,,,,,,,True
