,Last__Name,First__Name,BirthDate,PassengerDocument
0,BESSONOV,PLATON,1979-02-07,0576 780505
1,ROMANOV,IAROSLAV,1995-11-18,8532 227038
2,VORONIN,ROMAN,1989-09-10,4155 103388
3,TIHONOV,GLEB,1985-11-18,7448 534723
4,KALMYKOV,ARTUR,1977-10-28,0150 856814
5,SAVITSKII,IURII,1979-07-09,2889 990925
6,KORNEEV,PETR,1987-10-21,9779 292401
7,SUHAREV,FILIPP,1997-05-09,1031 528914
8,ZIMIN,ARTEM,1986-08-06,5684 333157
9,SEVTSOV,EGOR,1983-01-21,1541 783933
10,DEGTIAREV,SAVVA,2000-06-07,2040 912583
11,KUPRIIANOV,MAKAR,1982-04-10,6748 708286
12,SUVALOV,RUSTAM,1971-02-25,9188 466893
13,SUHOV,VLADIMIR,1988-10-05,5953 171913
14,MELNIKOV,IGOR,1996-02-07,1379 162684
15,ZAVIALOV,ANATOLII,1978-03-14,4009 300894
16,SHUVALOV,RUSTAM,1971-02-25,9188 466893
17,GORSHKOV,SERGEI,1996-01-25,8575 391070
18,EREMEEV,ROMAN,1976-09-09,4793 807461
19,LAPTEV,RODION,1973-03-14,1572 209986
20,MARKIN,PAVEL,1982-09-15,6694 401359
21,KOSHELEV,DENIS,1981-01-08,7095 892328
22,ISAKOV,AMIR,1996-07-28,6977 839983
23,CHESNOKOV,MIKHAIL,1973-11-23,6301 035685
24,SAVITSKII,OLEG,1984-05-30,4742 053558
25,SHCHERBAKOV,GEORGII,1994-12-30,8195 646006
26,NIKONOV,VALERII,1986-07-18,2392 733668
27,SUKHOV,VLADIMIR,1988-10-05,5953 171913
28,KRIUCHKOV,DANILA,1987-08-01,1708 772723
29,LEONOV,ANDREI,1986-06-27,2027 454777
30,DUBOV,DANIL,1976-04-11,2235 078441
31,VOROBEV,SAMIR,1985-03-03,4766 437524
32,CHEREPANOV,TIHON,1976-02-09,9578 056404
33,ZORIN,PAVEL,1998-04-15,6539 501159
34,PARFENOV,EVGENII,1990-08-30,9078 207166
35,EROFEEV,VITALII,1975-01-06,7522 073614
36,SAVITSKII,IGNAT,1974-08-08,1532 276751
37,KOTOV,MARAT,1992-06-15,3769 077044
38,LATYSEV,IURII,1995-09-19,8004 639431
39,HUDIAKOV,SAMIR,1974-02-06,9959 421233
40,SUHOV,VALERII,1993-09-09,2392 711459
41,GORELOV,LEV,1976-02-21,7473 879825
42,LEBEDEV,NIKOLAI,1970-09-07,3674 177045
43,TIHONOV,DAVID,1982-10-01,5944 234745
44,SESTAKOV,MARSEL,1973-06-20,6618 288723
45,ZUBKOV,MATVEI,1976-11-27,5820 718204
46,OREHOV,ARTUR,1999-01-16,8431 307319
47,SAMOILOV,VASILII,1996-01-14,6259 757564
48,AGAFONOV,IVAN,1990-05-10,9767 645640
49,USTINOV,SAVELII,1976-04-14,1489 561438
50,CHERNYSEV,RAMIL,2000-07-09,0350 995144
51,MESCHERIAKOV,ARTUR,1993-04-06,1936 858977
52,PUGACHEV,TAMERLAN,1980-03-28,8276 848969
53,POLIKARPOV,RADMIR,1977-10-23,5630 096579
54,ZORIN,OLEG,1988-11-26,6591 786220
55,MALTSEV,BORIS,1994-06-11,1964 575545
